Time1 (min total),Time1 (sec),Position1 (cm),Average1,Time2 (min total),Time2 (sec),Position2 (cm),Average2,Time2 (min total),Time2 (sec),Position2 (cm),Average2,Time2 (min total),Time2 (sec),Position2 (cm),Average2
0,0,86.5,74.66,18.33,0,71.9,77.13,0,0,87.6,74.63,18.33,0,71.3,77.09
0.33,20,84.8,,18.67,20,73.4,,0.33,20,86.7,,18.67,20,72.6,
0.67,40,80.5,,19.00,40,75.8,,0.67,40,83.1,,19.00,40,74.8,
1.00,60,75.3,,19.33,60,78.4,,1.00,60,77.3,,19.33,60,77.6,
1.33,80,69.5,,19.67,80,80.3,,1.33,80,71,,19.67,80,80.2,
1.67,100,65.6,,20.00,100,81.1,,1.67,100,65.9,,20.00,100,81.9,
2.00,120,64,,20.33,120,80.9,,2.00,120,63.1,,20.33,120,81.8,
2.33,140,65.4,,20.67,140,79.8,,2.33,140,63.6,,20.67,140,80.8,
2.67,160,69,,21.00,160,78.2,,2.67,160,66.7,,21.00,160,79,
3.00,180,73.6,,21.33,180,76.1,,3.00,180,71.5,,21.33,180,76.6,
3.33,200,78.4,,21.67,200,74.6,,3.33,200,76.8,,21.67,200,74,
3.67,220,81.8,,22.00,220,72.9,,3.67,220,81.4,,22.00,220,73.1,
4.00,240,83.3,,22.33,240,73.9,,4.00,240,84,,22.33,240,72.9,
4.33,260,82.5,,22.67,260,74.9,,4.33,260,83.5,,22.67,260,73.8,
4.67,280,79.3,,23.00,280,76.3,,4.67,280,81.1,,23.00,280,75.5,
5.00,300,75.3,,23.33,300,78,,5.00,300,77,,23.33,300,77.5,
5.33,320,71.1,,23.67,320,79.4,,5.33,320,72.4,,23.67,320,79.3,
5.67,340,68.2,,24.00,340,80,,5.67,340,68.4,,24.00,340,80.4,
6.00,360,67,,24.33,360,79.9,,6.00,360,66.1,,24.33,360,80.6,
6.33,380,68,,24.67,380,79.1,,6.33,380,66.4,,24.67,380,79.9,
6.67,400,70.3,,25.00,400,78,,6.67,400,68.6,,25.00,400,78.6,
7.00,420,73.7,,25.33,420,76.5,,7.00,420,72.1,,25.33,420,77,
7.33,440,77.3,,25.67,440,75.4,,7.33,440,76.1,,25.67,440,75.2,
7.67,460,79.8,,26.00,460,74.7,,7.67,460,79.3,,26.00,460,74.4,
8.00,480,80.9,,26.33,480,74.9,,8.00,480,81.4,,26.33,480,74.1,
8.33,500,80.3,,26.67,500,75.4,,8.33,500,81.1,,26.67,500,74.6,
8.67,520,78.3,,27.00,520,76.5,,8.67,520,79.4,,27.00,520,75.8,
9.00,540,75.4,,27.33,540,77.7,,9.00,540,76.5,,27.33,540,77.2,
9.33,560,72.4,,27.67,560,78.6,,9.33,560,73,,27.67,560,78.6,
9.67,580,70.1,,28.00,580,79.3,,9.67,580,70.2,,28.00,580,79.5,
10.00,600,69.2,,28.33,600,79.3,,10.00,600,68.4,,28.33,600,79.8,
10.33,620,69.5,,28.67,620,78.6,,10.33,620,68.6,,28.67,620,79.3,
10.67,640,71.4,,29.00,640,77.7,,10.67,640,70,,29.00,640,78.2,
11.00,660,73.8,,29.33,660,76.8,,11.00,660,72.5,,29.33,660,77.1,
11.33,680,76.3,,29.67,680,76,,11.33,680,75.4,,29.67,680,75.9,
11.67,700,78.2,,30.00,700,75.4,,11.67,700,77.9,,30.00,700,75.1,
12.00,720,79.1,,30.33,720,75.5,,12.00,720,79.5,,30.33,720,74.9,
12.33,740,78.7,,30.67,740,75.7,,12.33,740,79.4,,30.67,740,75.4,
12.67,760,77.3,,31.00,760,76.4,,12.67,760,78.2,,31.00,760,76.2,
13.00,780,75.3,,31.33,780,77.5,,13.00,780,76,,31.33,780,77.2,
13.33,800,73.1,,31.67,800,78.3,,13.33,800,73.5,,31.67,800,78.2,
13.67,820,71.4,,32.00,820,78.7,,13.67,820,71.4,,32.00,820,78.9,
14.00,840,70.6,,32.33,840,78.7,,14.00,840,70,,32.33,840,79.1,
14.33,860,70.9,,32.67,860,78.4,,14.33,860,70.1,,32.67,860,78.8,
14.67,880,72.1,,33.00,880,77.7,,14.67,880,71.1,,33.00,880,78.1,
15.00,900,73.8,,33.33,900,76.4,,15.00,900,72.8,,33.33,900,77.3,
15.33,920,75.7,,33.67,920,76,,15.33,920,75,,33.67,920,76.4,
15.67,940,77.2,,34.00,940,,,15.67,940,76.8,,34.00,940,75.7,
16.00,960,77.9,,,,,,16.00,960,78.1,,,,,
16.33,980,77.6,,,,,,16.33,980,78,,,,,
16.67,1000,76.7,,,,,,16.67,1000,77.3,,,,,
17.00,1020,75.2,,,,,,17.00,1020,75.7,,,,,
17.33,1040,73.6,,,,,,17.33,1040,74,,,,,
17.67,1060,72.3,,,,,,17.67,1060,72.4,,,,,
18.00,1080,71.7,,,,,,18.00,1080,71.2,,,,,