"charge[C]","sigma_charge[C]","delta_x_fall[m]","sigma_delta_x_fall[m]","delta_t_fall[s]","delta_x_rise[m]","sigma_delta_x_rise[m]","delta_t_rise[s]","voltage[V]","sigma_voltage[V]","temperature[K]","air_pressure[Pa]","group"
5.09E-19,3.47E-19,0.000125849,0.00001,3.475975487,0.000447624,0.00001,3.54282117,404.9,2,291.15,98791.9,J
2.46E-19,1.71E-19,0.000137252,0.00001,3.54282117,0.000346425,0.00001,9.425241226,404.9,2,291.15,98791.9,J
3.43E-19,2.31E-19,0.00018334,0.00001,14.50551309,0.000538025,0.00001,2.740672981,404.9,2,291.15,98791.9,J
1.30E-18,7.84E-19,0.001007026,0.00001,7.486716435,0.000548919,0.00001,8.823630084,404.9,2,291.15,98791.9,J
1.29E-19,8.59E-20,0.000225196,0.00001,12.63383398,0.000463208,0.00001,10.22738942,404.9,2,291.15,98791.9,J
1.78E-19,1.22E-19,0.000163886,0.00001,14.8397415,0.000438269,0.00001,4.07758663,404.9,2,291.15,98791.9,J
7.92E-19,4.86E-19,0.000667976,0.00001,8.623093036,0.000638705,0.00001,7.486716435,404.9,2,291.15,98791.9,J
2.05E-19,1.37E-19,0.000201436,0.00001,15.44135265,0.000782112,0.00001,7.152488022,404.9,2,291.15,98791.9,J
1.60E-19,1.07E-19,0.000211099,0.00001,12.76752535,0.000661363,0.00001,10.02685237,404.9,2,291.15,98791.9,J
1.72E-19,1.13E-19,0.000218045,0.00001,10.42792646,0.00073149,0.00001,13.16859944,404.9,2,291.15,98791.9,J
2.06E-19,1.43E-19,0.000142048,0.00001,13.90390195,0.000419942,0.00001,3.141747075,404.9,2,291.15,98791.9,J
1.93E-19,1.35E-19,0.00015835,0.00001,8.155173259,0.000202333,0.00001,2.874364345,404.9,2,291.15,98791.9,J
2.13E-19,1.45E-19,0.000168474,0.00001,11.63114875,0.000482252,0.00001,4.612352089,404.9,2,291.15,98791.9,J
3.41E-19,2.14E-19,0.000570099,0.00001,15.93174,0.000575051,0.00001,7.79922,405.1,2,291.15,98791.9,J
4.15E-19,2.71E-19,0.00041817,0.00001,9.59904,0.000190435,0.00001,2.53308,405.1,2,291.15,98791.9,J
8.38E-19,5.36E-19,0.000527036,0.00001,14.9985,0.000331796,0.00001,1.39986,405.1,2,291.15,98791.9,J
5.08E-19,3.29E-19,0.000506908,0.00001,12.06546,0.000227562,0.00001,2.13312,405.1,2,291.15,98791.9,J
3.09E-19,2.10E-19,0.000202064,0.00001,12.6654,0.000282845,0.00001,1.93314,405.1,2,291.15,98791.9,J
6.52E-19,4.04E-19,0.000642529,0.00001,15.9984,0.000860507,0.00001,5.53278,405.1,2,291.15,98791.9,J
1.62E-19,1.07E-19,0.000249709,0.00001,16.39836,0.000712076,0.00001,9.79902,405.1,2,291.15,98791.9,J
4.67E-19,2.95E-19,0.000402821,0.00001,10.79892,0.000720674,0.00001,6.59934,405.1,2,291.15,98791.9,J
3.18E-19,2.06E-19,0.000313245,0.00001,14.9985,0.000659897,0.00001,5.46612,405.1,2,291.15,98791.9,J
3.15E-19,2.02E-19,0.000346233,0.00001,15.13182,0.000743856,0.00001,6.79932,405.1,2,291.15,98791.9,J
1.67E-19,1.10E-19,0.000268876,0.00001,9.93234,0.000336034,0.00001,9.26574,405.1,2,291.15,98791.9,J
7.78E-19,4.78E-19,0.000571282,0.00001,9.46572,0.001132684,0.00001,9.13242,405.1,2,291.15,98791.9,J
6.25E-19,4.07E-19,0.000244511,0.00001,4.19958,0.00032273,0.00001,3.46632,405.1,2,291.15,98791.9,J
3.52E-19,2.23E-19,0.000397525,0.00001,11.46552,0.000678029,0.00001,8.39916,405.1,2,291.15,98791.9,J
1.55E-19,1.06E-19,0.000154861,0.00001,12.19878,0.000649205,0.00001,7.93254,405.1,2,291.15,98791.9,J
1.39E-19,9.42E-20,0.000205365,0.00001,10.73226,0.00031731,0.00001,6.86598,405.1,2,291.15,98791.9,J
4.97E-19,3.07E-19,0.000667282,0.00001,17.7463363,0.001073153,0.00001,9.14003035,405.1,2,291.15,98791.9,J
9.13E-19,5.52E-19,0.001007672,0.00001,10.87463465,0.000901103,0.00001,11.67522125,405.1,2,291.15,98791.9,J
5.17E-19,3.19E-19,0.000912825,0.00001,18.8137851,0.000585894,0.00001,6.47140835,405.1,2,291.15,98791.9,J
1.01E-18,6.12E-19,0.000881841,0.00001,9.0733148,0.000823623,0.00001,9.6070392,405.1,2,291.15,98791.9,J
5.37E-19,3.33E-19,0.000853975,0.00001,17.94648295,0.000505691,0.00001,5.13709735,405.1,2,291.15,98791.9,J
3.56E-19,2.22E-19,0.000547135,0.00001,10.07404805,0.000475378,0.00001,13.4765411,405.1,2,291.15,98791.9,J
2.09E-19,1.33E-19,0.000410687,0.00001,11.27492795,0.000393083,0.00001,13.14296335,405.1,2,291.15,98791.9,J
4.87E-19,3.04E-19,0.000502719,0.00001,16.3317,0.001221741,0.00001,8.6658,406.2,2,291.15,98791.9,J
3.03E-19,1.90E-19,0.00062033,0.00001,19.53138,0.000614567,0.00001,8.39916,406.2,2,291.15,98791.9,J
1.46E-19,1.01E-19,0.000130505,0.00001,12.88296366,0.000912699,0.00001,9.745661631,407.8,2,291.05,98791.9,J
1.54E-19,1.01E-19,0.000256293,0.00001,13.08321698,0.000500697,0.00001,9.612159417,407.8,2,291.05,98791.9,J
4.61E-19,2.83E-19,0.000823213,0.00001,20.62609208,0.001537044,0.00001,15.35275462,407.8,2,291.05,98791.9,J
1.47E-19,9.46E-20,0.000479454,0.00001,32.77479357,0.000832288,0.00001,12.2822037,407.8,2,291.05,98791.9,J
1.48E-19,9.38E-20,0.000538069,0.00001,20.7595943,0.000673804,0.00001,20.89309651,407.8,2,291.05,98791.9,J
2.98E-19,1.91E-19,0.000340667,0.00001,7.542875098,0.000415371,0.00001,10.68017713,407.8,2,291.05,98791.9,J
3.14E-19,1.97E-19,0.000468612,0.00001,9.211652774,0.000467055,0.00001,14.68524355,407.8,2,291.05,98791.9,J
3.32E-19,2.05E-19,0.000694859,0.00001,15.26514,0.000768629,0.00001,15.9984,409,2,290.95,98791.9,J
1.56E-19,1.02E-19,0.000330454,0.00001,14.3319,0.000352115,0.00001,8.19918,409,2,290.95,98791.9,J
2.66E-19,1.72E-19,0.000330911,0.00001,15.46512,0.000700852,0.00001,7.26594,409,2,290.95,98791.9,J
1.32E-19,8.47E-20,0.000397672,0.00001,17.06496,0.000638129,0.00001,19.86468,409,2,290.95,98791.9,J
1.39E-19,9.22E-20,0.000249929,0.00001,16.86498,0.000649251,0.00001,10.3323,409,2,290.95,98791.9,J
1.05E-19,7.26E-20,0.000157951,0.00001,16.39836,0.000541453,0.00001,7.9992,409,2,290.95,98791.9,J
2.39E-19,1.57E-19,0.000230731,0.00001,16.3317,0.001064394,0.00001,8.6658,409,2,290.95,98791.9,J
1.29E-19,8.64E-20,0.000206124,0.00001,16.9983,0.000727262,0.00001,10.46562,409,2,290.95,98791.9,J
1.55E-19,1.02E-19,0.00026255,0.00001,17.53158,0.000585182,0.00001,8.26584,409,2,290.95,98791.9,J
4.47E-19,2.74E-19,0.000861825,0.00001,14.73186,0.000691533,0.00001,13.6653,409,2,290.95,98791.9,J
1.37E-19,8.85E-20,0.000381877,0.00001,20.73126,0.000621902,0.00001,12.93204,409,2,290.95,98791.9,J
3.20E-19,1.98E-19,0.000676728,0.00001,14.39856,0.000740442,0.00001,17.79822,409,2,290.95,98791.9,J
1.56E-19,9.86E-20,0.000580738,0.00001,19.59804,0.000606107,0.00001,22.26444,409,2,290.95,98791.9,J
1.54E-19,9.87E-20,0.000459481,0.00001,14.46522,0.000372329,0.00001,16.86498,409,2,290.95,98791.9,J
1.70E-19,1.08E-19,0.000463493,0.00001,20.53128,0.000980289,0.00001,19.53138,409,2,290.95,98791.9,J